index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote,de,en,la,added
c66f325a3075a5ffa3b874553c8a7ef3,2026-08-02T03:30:00Z,'Klimawandel',www.nzz.ch,de,0.9,Klimawandel? Mais bien sûr. Die Kehrtwende der Le-Pen-Partei nach den Waldbränden,"Jahrzehntelang hatten Frankreichs Rechtsextreme den Klimawandel geleugnet. Seit enorme Feuer lodern, spricht das Rassemblement national auf einmal darüber – und empfiehlt noch mehr Atomkraft und Klimaanlagen.",https://www.nzz.ch/international/klimawandel-mais-bien-sur-die-kehrtwende-der-le-pen-partei-nach-den-waldbraenden-ld.10017450,"https://img-msp-prod.nzz.ch/2026/07/29/0ca6b124-5da1-4815-9548-c078fe083b6e.jpg?width=1200&height=674&fit=bounds&quality=75&auto=webp&crop=1988,1118,x0,y507&wmark=nzz",http://web.archive.org/web/20260803072634/https://www.nzz.ch/international/klimawandel-mais-bien-sur-die-kehrtwende-der-le-pen-partei-nach-den-waldbraenden-ld.10017450,"Jahrzehntelang hatten Frankreichs Rechtsextreme den Klimawandel geleugnet. Seit enorme Feuer lodern, spricht das Rassemblement national auf einmal darüber  und empfiehlt noch mehr Atomkraft und Klima… [+7128 chars]",,"Klimawandel? Mais bien sûr. Die Kehrtwende der Le-Pen-Partei nach den Waldbränden. Jahrzehntelang hatten Frankreichs Rechtsextreme den Klimawandel geleugnet. Seit enorme Feuer lodern, spricht das Rassemblement national auf einmal darüber – und empfiehlt noch mehr Atomkraft und Klimaanlagen.","Climate change? Mais bien sûr. The Le Pen party's about-face after the forest fires. France's right-wing extremists had denied climate change for decades. Since enormous fires have been blazing, the Rassemblement is suddenly talking about it nationally - and recommending even more nuclear power and air conditioning.","Clima mutationis? Mais bien sur. Factio Le Pen circa-faciem post ignes silvarum est. Franciae dextro cornu extremistis negaverat mutationem climatis per decades. Cum ignes immensae ardentes sunt, concursus subito de illo nationaliter loquitur - et etiam magis nuclearem vim et condiciones aeris commendans.",2026-08-27 10:22:32+00:00
9c7474f4b7afb87a1e30ddee2b61c55d,2026-08-03T08:50:00Z,'Ökologie Klimawandel',www.freitag.de,de,0.9,"Frau Le Pen, können Sie angesichts dieser Waldbrände noch den Klimawandel leugnen?","Frankreich erlebt die vierte Hitzewelle des Sommers: Dutzende Waldbrände, Tausende Hektar verbrannte Erde, 260.000 Evakuierte. Welche Auswirkungen hat die Katastrophe auf die Präsidentschaftswahl im Jahr 2027? Experten haben eine Vermutung Noch immer wüten Du…",https://www.freitag.de/autoren/the-guardian/le-pen-und-klimawandel-kann-sie-ihn-nach-frankreichs-waldbraenden-noch-leugnen,https://www.freitag.de/autoren/the-guardian/le-pen-und-klimawandel-kann-sie-ihn-nach-frankreichs-waldbraenden-noch-leugnen/@@images/image/great,,Noch immer wüten Dutzende Waldbrände in ganz Frankreich. Sie wurden ausgelöst durch die vierte extreme Hitzewelle dieses Sommers und haben außer vielen Tausend Hektar verbrannter Erde durch Rauch und… [+5611 chars],,"Frau Le Pen, können Sie angesichts dieser Waldbrände noch den Klimawandel leugnen?. Frankreich erlebt die vierte Hitzewelle des Sommers: Dutzende Waldbrände, Tausende Hektar verbrannte Erde, 260.000 Evakuierte. Welche Auswirkungen hat die Katastrophe auf die Präsidentschaftswahl im Jahr 2027? Experten haben eine Vermutung Noch immer wüten Du…","Ms. Le Pen, can you still deny climate change in the face of these forest fires? France is experiencing the fourth heat wave of the summer: dozens of forest fires, thousands of hectares of scorched earth, 260,000 evacuees. What impact does the disaster have on the presidential election in 2027? Experts have a guess You're still angry...","Le Pen, potesne etiam negare mutationem climatis in facie horum ignes silvarum? Gallia experitur quartam aestum undam aestatis: justos ignes silvarum, milia hectares terrae combustae, 26000 evacuationes. Quid ictum calamitatis in electione praesidentiali anno MMXXVII? Coniicio periti adhuc iratus es...",2026-08-27 10:22:32+00:00
bcf6e47b8742c1d704376f6720e49bda,2026-08-03T17:27:11Z,'Klimawandel Emissionen',orf.at,de,0.9,Viehbauern ringen mit „historischer Dürre“,"Der Klimawandel, der sich seit Monaten durch anhaltende Dürre und seit Wochen durch teils extreme Hitze zeigt, wird für die heimische Landwirtschaft zu einer wirtschaftlichen Gefahr. Davor warnten am Montag Umwelt- und Landwirtschaftsminister Norbert Totschni…",https://orf.at/stories/3438082/,https://ibs.orf.at/news?image=https%3A%2F%2Fassets.orf.at%2Fmims%2F2026%2F32%2F06%2Fcrops%2Fw%3D1200%2Ch%3D630%2Cq%3D75%2F3136675_master_1215906_klima_hitze_duerre_landwirtschaft_im.jpg%3Fs%3D30e9a46f71653adb7201e23cb4aeb20913518027,http://web.archive.org/web/20260803215316/https://orf.at/stories/3438082/,"Die anhaltende Dürre infolge des Klimawandels stelle die österreichische Landwirtschaft vor eine historische Belastungsprobe, so Totschnig und Moosbrugger in einer gemeinsamen Aussendung. Das erste H… [+3900 chars]",,"Viehbauern ringen mit „historischer Dürre“. Der Klimawandel, der sich seit Monaten durch anhaltende Dürre und seit Wochen durch teils extreme Hitze zeigt, wird für die heimische Landwirtschaft zu einer wirtschaftlichen Gefahr. Davor warnten am Montag Umwelt- und Landwirtschaftsminister Norbert Totschni…","Livestock farmers grapple with “historic drought.” Climate change, which has been evident for months in persistent drought and for weeks in sometimes extreme heat, is becoming an economic threat to local agriculture. Environment and Agriculture Minister Norbert Totschni warned about this on Monday...","Iumenta agricolae opponunt ""historicae siccitatis"". Mutatio climatis, quae per menses in siccitate assidua et per hebdomades interdum in nimio calore manifestata est, fit comminatio oeconomica ad agriculturam localem. Minister Agriculture Norbert Totschni de hoc die Lunae monuerunt...",2026-08-29 08:27:34+00:00
7003ea3ffe79511b6d1c713c6cba80ac,2026-08-10T08:18:45Z,'Landwirtschaft Klimawandel',www.zeit.de,de,0.9,Hitzewelle und Dürre: Bauernverband fordert mehr Hilfen angesichts des Klimawandels,Aufgrund des Klimawandels werden Ernteausfälle wahrscheinlicher. Die Landwirtschaft fordert daher stärkere Unterstützung von der Bundesregierung.,https://www.zeit.de/politik/deutschland/2026-08/bauernverband-trockenheit-ernte-klimawandel-landwirtschaft-gxe,https://img.zeit.de/politik/deutschland/2026-08/bauernverband-trockenheit-ernte-klimawandel-landwirtschaft-foto-1/wide__1300x731,http://web.archive.org/web/20260811072544/https://www.zeit.de/politik/deutschland/2026-08/bauernverband-trockenheit-ernte-klimawandel-landwirtschaft-gxe,"Der Deutsche Bauernverband hat angesichts anhaltender Trockenheit, Hitzewellen und voraussichtlich unterdurchschnittlicher Ernten bessere Hilfeleistungen der Politik gefordert. Die landwirtschaftlich… [+1669 chars]",,Hitzewelle und Dürre: Bauernverband fordert mehr Hilfen angesichts des Klimawandels. Aufgrund des Klimawandels werden Ernteausfälle wahrscheinlicher. Die Landwirtschaft fordert daher stärkere Unterstützung von der Bundesregierung.,"Heat wave and drought: Farmers' association calls for more help in the face of climate change. Due to climate change, crop failures are becoming more likely. Agriculture is therefore demanding greater support from the federal government.","Calor fluctus et siccitas: Agricolae consociatio plus adiuvat in facie mutationis climatis. Ob mutationem climatis, defectus seges magis probabile fit. Agricultura ergo maius auxilium a foederati imperio flagitat.",2026-08-29 08:27:34+00:00
6316f7d38f13f2742cf9a5165e648918,2026-08-12T15:53:54Z,'Klimawandel',www.morgenpost.de,de,0.9,Leben bei fast 50 Grad Hitze: Kann das auch in Deutschland passieren?,"Durch den Klimawandel kann es in Banda, Indien, fast 50 Grad heiß werden. Das hat immense Folgen. Kann es auch in Europa so heiß werden?",https://www.morgenpost.de/panorama/article412643904/leben-bei-fast-50-grad-hitze-kann-das-auch-in-deutschland-passieren.html,https://img.sparknews.funkemedien.de/412646631/412646631_1784877809_v16_9_1600.jpeg,,"48,2 Grad zeigte das Thermometer im Mai in Banda die nordindische Stadt gilt als eine der heißesten der Welt. In den vergangenen Jahren klettern die Temperaturen dort immer häufiger über 45 Grad, die… [+8507 chars]",,"Leben bei fast 50 Grad Hitze: Kann das auch in Deutschland passieren?. Durch den Klimawandel kann es in Banda, Indien, fast 50 Grad heiß werden. Das hat immense Folgen. Kann es auch in Europa so heiß werden?","Living in almost 50 degree heat: Can that also happen in Germany? Due to climate change, temperatures in Banda, India, can reach almost 50 degrees. This has immense consequences. Can it get this hot in Europe too?","Vivens in fere 50 gradu caloris: Etiamne in Germania accidere potest? Ob mutationem climatis, temperaturas in Banda, India, fere 50 gradus attingere possunt. Habet haec immensa consectaria. Potestne hoc quoque calidum in Europa accipere?",2026-08-29 08:27:34+00:00
390f6beeae68402f072196149fc03979,2026-08-18T03:30:00Z,'Klimawandel',www.nzz.ch,de,0.9,Indiens Autofahrer revoltieren gegen den Biotreibstoff E20 – sie fürchten Schäden am Motor und eine geringere Reichweite,Die indische Regierung bewirbt die Einführung des Benzin-Ethanol-Gemischs als Beitrag zum Kampf gegen den Klimawandel und zur wirtschaftlichen Autonomie des Landes. Auf den Strassen sind aber viele nicht überzeugt.,https://www.nzz.ch/wirtschaft/indiens-autofahrer-revoltieren-gegen-den-biotreibstoff-e20-sie-fuerchten-schaeden-am-motor-und-eine-geringere-reichweite-ld.10019789,"https://img-msp-prod.nzz.ch/2026/08/17/728761b8-d8d9-40a0-9ead-8dadd3aa89f0.jpg?width=1200&height=674&fit=bounds&quality=75&auto=webp&crop=5382,3027,x0,y561&wmark=nzz",http://web.archive.org/web/20260819185006/https://www.nzz.ch/wirtschaft/indiens-autofahrer-revoltieren-gegen-den-biotreibstoff-e20-sie-fuerchten-schaeden-am-motor-und-eine-geringere-reichweite-ld.10019789,Die indische Regierung bewirbt die Einführung des Benzin-Ethanol-Gemischs als Beitrag zum Kampf gegen den Klimawandel und zur wirtschaftlichen Autonomie des Landes. Auf den Strassen sind aber viele n… [+7013 chars],,Indiens Autofahrer revoltieren gegen den Biotreibstoff E20 – sie fürchten Schäden am Motor und eine geringere Reichweite. Die indische Regierung bewirbt die Einführung des Benzin-Ethanol-Gemischs als Beitrag zum Kampf gegen den Klimawandel und zur wirtschaftlichen Autonomie des Landes. Auf den Strassen sind aber viele nicht überzeugt.,India's drivers are revolting against the biofuel E20 - they fear damage to the engine and a reduced range. The Indian government is promoting the introduction of the gasoline-ethanol blend as a contribution to the fight against climate change and the country's economic autonomy. But many on the streets are not convinced.,Agitatores Indiae contra biofuel E20 abominantur - timent damna machinae et range imminutos. Imperium Indicum promovet introductionem mixtionis gasolino-ethanoli quasi adiumentum ad pugnam contra mutationem climatis et autonomiam oeconomicam patriae. Sed multi in triviis non convincuntur.,2026-08-29 08:27:34+00:00
002bee4d39c5336a08483e3216559393,2026-08-20T11:28:39Z,'Klimawandel Emissionen',www.n-tv.de,de,0.9,Auswirkungen des Klimawandels: Waldbrandfläche in Europa könnte sich verdreifachen,"Nicht nur in Frankreich, Spanien oder Griechenland, sondern auch in Deutschland brennen in diesem Sommer riesige Waldgebiete. Laut einer neuen Studie könnte der Klimawandel die betroffene Fläche künftig verdreifachen. Aber es gibt auch Maßnahmen zum Gegensteu…",https://www.n-tv.de/wissen/Waldbrandflaeche-in-Europa-koennte-sich-verdreifachen-id31213893.html,https://www.n-tv.de/img/31213868/1787224729/Img_16_9/1200/ARCHIV-15-07-2022-Frankreich-Landiras-Dieses-am-Freitag-den-15-Juli-2022-von-der-Feuerwehr-der-Region-Gironde-SDIS-33-zur-Verfuegung-gestellte-Foto-zeigt-einen-Feuerwehrwagen-der-Fluessigkeit-auf-einen-Waldbrand-sprueht-Mehrere-hundert-Feuerwehrleute-bemuehten-sich-am-15-07-2022-zwei-Waldbraende-in-der-Region-Bordeaux-im-Suedwesten-Frankreichs-einzudaemmen-die-die-Evakuierung-von-10-000-Menschen-erzwungen-und-mehr-als-7-000-Hektar-Land-verwuestet-haben-Hohe-Temperaturen-und-starke-Winde-haben-die-Loescharbeiten-in-der-Region-erschwert-die-in-dieser-Saison-von-mehreren-Waldbraenden-in-Europa-heimgesucht-wird.jpg,http://web.archive.org/web/20260820214334/https://www.n-tv.de/wissen/Waldbrandflaeche-in-Europa-koennte-sich-verdreifachen-id31213893.html,"Vor allem Südeuropa wurde in diesem Sommer von verheerenden Waldbränden heimgesucht - ein Szenario, an das wir uns Experten zufolge wohl gewöhnen müssen. (Foto: dpa)
Nicht nur in Frankreich, Spanien… [+4204 chars]",,"Auswirkungen des Klimawandels: Waldbrandfläche in Europa könnte sich verdreifachen. Nicht nur in Frankreich, Spanien oder Griechenland, sondern auch in Deutschland brennen in diesem Sommer riesige Waldgebiete. Laut einer neuen Studie könnte der Klimawandel die betroffene Fläche künftig verdreifachen. Aber es gibt auch Maßnahmen zum Gegensteu…","Impact of climate change: Forest fire area in Europe could triple. Huge areas of forest are burning this summer, not only in France, Spain and Greece, but also in Germany. According to a new study, climate change could triple the area affected in the future. But there are also countermeasures...","Impulsum climatis mutatione: Silva ignis regio in Europa triplici potuit. Ingentes silvae hac aestate ardent non solum in Gallia, Hispania et Graecia, sed etiam in Germania. Secundum novum studium, mutatio climatis triplicari potuit aream quae in futuro afficitur. Sed sunt etiam countermeasures...",2026-08-29 08:27:34+00:00
b2752b320335a4abf59b840d39b618ba,2026-08-27T11:36:10Z,'Klimawandel Emissionen',www.faz.net,de,0.9,"F.A.Z. exklusiv: Deutschland droht erstmals, Klimaziel zu verfehlen","Die Treibhausgasemissionen sind im ersten Halbjahr wohl nur um sieben Millionen Tonnen gesunken. Tut die Bundesregierung genug, um den Klimawandel zurückzudrängen?",https://www.faz.net/aktuell/wirtschaft/klima-nachhaltigkeit/deutschland-droht-erstmals-klimaziel-zu-verfehlen-accg-201161163.html,https://media0.faz.net/image/w1200h627/5e005ce1f977/w5129h2679x0y198o/202608/43601.0.2458816593/begutachtete-im-huertgenwald.webp,http://web.archive.org/web/20260828083002/https://www.faz.net/aktuell/wirtschaft/klima-nachhaltigkeit/deutschland-droht-erstmals-klimaziel-zu-verfehlen-accg-201161163.html,"Der Kanzler sieht sich auf dem richtigen Weg. Er werde alles tun, um den Klimawandel zurückzudrängen, sagte er bei seinem ersten öffentlichen Auftritt nach dem Urlaub am vergangenen Wochenende im Hür… [+6721 chars]",,"F.A.Z. exklusiv: Deutschland droht erstmals, Klimaziel zu verfehlen. Die Treibhausgasemissionen sind im ersten Halbjahr wohl nur um sieben Millionen Tonnen gesunken. Tut die Bundesregierung genug, um den Klimawandel zurückzudrängen?",F.A.Z. exclusive: Germany is in danger of missing its climate target for the first time. Greenhouse gas emissions probably only fell by seven million tons in the first half of the year. Is the federal government doing enough to curb climate change?,F.A.Z. exclusive: Germania in periculo est ne primum scopo climatis careat. Emissiones gasi conservatoriae probabiliter tantum septem miliones talentorum in primo dimidium anni ceciderunt. Estne foederati regimen satis faciens mutationem climatis refrenare?,2026-08-29 08:27:34+00:00
e175af255f331a27fda37aa866b36f0f,2026-08-06T02:31:40Z,'Klimawandel',www.tagesspiegel.de,de,0.9,Klimawandel: Hitze in Europa: Ärzte dringen auf verbindliche Maßnahmen,"Die extreme Hitze in Europa führt zu Übersterblichkeit, allein in Deutschland sterben Tausende Menschen infolge hoher Temperaturen. Ärzte und andere Experten schlagen Alarm - und fordern ein Handeln.",https://www.tagesspiegel.de/gesellschaft/panorama/klimawandel-hitze-in-europa-arzte-dringen-auf-verbindliche-massnahmen-15918291.html,https://www.tagesspiegel.de/images/15918290/alternates/BASE_16_9_W1400/1785983500000/hitze-in-deutschland.jpeg,,Angesichts der jüngsten Hitzewellen mit Tausenden Toten fordern die Bundesärztekammer und rund 80 weitere europäische Gesundheitsorganisationen deutlich mehr Anstrengung von der EU. So müsse die Erkl… [+2811 chars],,"Klimawandel: Hitze in Europa: Ärzte dringen auf verbindliche Maßnahmen. Die extreme Hitze in Europa führt zu Übersterblichkeit, allein in Deutschland sterben Tausende Menschen infolge hoher Temperaturen. Ärzte und andere Experten schlagen Alarm - und fordern ein Handeln.","Climate change: Heat in Europe: Doctors urge binding measures. The extreme heat in Europe leads to excess mortality; in Germany alone, thousands of people die as a result of high temperatures. Doctors and other experts are sounding the alarm - and demanding action.","Mutatio climatis: Calor in Europa: Medici obligatorias mensuras urgent. Extremus calor in Europa mortalitatem nimiam ducit; in sola Germania, propter caliditates hominum milia hominum moriuntur. Doctores aliique periti terrorem sonant - et actionem postulant.",2026-08-29 08:32:45+00:00
a40d94b2cc4448409e8fc95d7686affe,2026-08-07T19:18:00Z,'Klimawandel',www.dw.com,de,0.9,Klimawandel: Giftige Überschwemmungen im Südsudan,"Jahrelange Überschwemmungen haben in der Ölregion des Südsudans zu einer katastrophalen Wasserverschmutzung geführt. Gemeinden, Wissenschaftler und Gesundheitspersonal suchen verzweifelt nach Lösungen.",https://www.dw.com/de/klimawandel-giftige-%C3%BCberschwemmungen-im-s%C3%BCdsudan/a-78270824,https://static.dw.com/image/78195896_6.jpg,http://web.archive.org/web/20260807215657/https://www.dw.com/de/klimawandel-giftige-%C3%BCberschwemmungen-im-s%C3%BCdsudan/a-78270824,"Das Dorf Bentiu hat schon alles erlebt: Die im Norden des Südsudans nahe der Grenze zum Sudan gelegene Hauptstadt des Bundesstaates Unity zählte früher nur einige Tausend Einwohner. Krieg, Gewalt und… [+10967 chars]",,"Klimawandel: Giftige Überschwemmungen im Südsudan. Jahrelange Überschwemmungen haben in der Ölregion des Südsudans zu einer katastrophalen Wasserverschmutzung geführt. Gemeinden, Wissenschaftler und Gesundheitspersonal suchen verzweifelt nach Lösungen.","Climate change: Toxic floods in South Sudan. Years of flooding have caused catastrophic water pollution in South Sudan's oil region. Communities, scientists and health workers are desperate to find solutions.","Mutatio climatis: Inundationes Toxicus in Sudania Australi. Anni inundationis aquam funestam in regione olei Sudani in Meridiana pollutione effecit. Communitates, scientiarum ac salutis operariorum solutiones invenire desperatae sunt.",2026-08-29 08:32:45+00:00
